TEMP_FISKAL_BK	85987
TEMP_POSTAUSGANG	1
TEMP_QRCODE	0
TEMP_STAT_AUSW	3121
TEMP_STAT_BELEG_UMSATZ	0
TEMP_STAT_MANAG	2777
TEMP_STAT_MANAG_TGABS	0
TEMP_STAT_UMSATZ	19
TEMP_STAT_UMS_BELEG	0
TEMP_STAT_UMS_DASHBOARD	3737
TEMP_STAT_ZUSATZ	0
TEMP_TODO_NACHRICHTEN	43998
TEMP_VAKANZ	0
TEMP_VORS_BELEG	36
TEMP_ZEITDRUCK	0
TEMP_ZIM_ABRECH	0
TERMINE	0
TERMINE_BK	0
TERM_NOTIZ	0
TERM_VERLAUF	0
TEXTE	691
TEXTSTAM	0
THERAPEUT	1
THERAPEUT_ANW	0
TISCHBELEGUNG	0
TISCHBELEGUNG_NOTIZ	0
TISCHBELEGUNG_SCHICHT	0
TISCHPLAN	0
TISCHUMS	0
TODOLIST	0
TODOLIST_ADD	0
USERPROT	60214
VERBINDUNGEN_WS	2
VORLAGEN	21
WAESCHEWECHSEL	0
WARENGRU	9
WARENGR_BUDGET	0
WARTELISTE	0
WEB_ABF_GS	0
WEB_ABF_TEMP	53735
WEB_ABF_TEMP_LOGI	53702
WEB_ABF_TEMP_USER	0
WEB_ABF_TEMP_ZL	18174
WELLN_LEIST	0
ZAHLUNGEN	26115
ZAHLUNG_ZUS	3286
ZIMMERSELEKT	0
ZIMMERSTATUS_PROT	0
ZIMMLEIST	0
ZIMMSTAM	37
ZIMM_EXTRAS	0
ZIMM_W_KATE	0
ZUSATZ_TEXT	0
ZUTRITTSKONTROLLE_PROT	0
