PLZ_STRASSE	245559
ANWENDER_PROT	206741
BUCHKONT	195303
ONLINETRANS_ALLE	148448
STAT_UMSATZ	127738
FAKT_ERLOESE	88637
TEMP_FISKAL_BK	85987
FISKAL_BK	79610
AUSGBUCH	65396
ADR_DATENSCHUTZ	61305
USERPROT	60214
ONLINE_VERBUND	55730
WEB_ABF_TEMP	53735
WEB_ABF_TEMP_LOGI	53702
BELEGUNG	52996
GASTKONT	52941
TEMP_TODO_NACHRICHTEN	43998
FISKAL_RECH_POS	42509
STAT_BELEGUNG	38176
ADRESSEN	37088
STAT_WEB_ABF	33897
RECHNUNG	33059
RECHNUNGSDRUCK	32915
CHECKOUT	31012
ZAHLUNGEN	26115
PLZ_ORT	25180
ADR_ZUSATZ	20093
GASTHIST	18211
WEB_ABF_TEMP_ZL	18174
DOKUMENT	17542
GASTKREF	16696
TEMP_BELEGTE_ZIMMER	14461
FISKAL_RECHNUNG	12837
ONLINE_BUCHUNGEN	8047
ARCHIV_PREISLIST	4512
TEMP_STAT_UMS_DASHBOARD	3737
ARCHIV_BUCHKONT	3681
FISKAL_ZERO_REC	3607
ZAHLUNG_ZUS	3286
TEMP_STAT_AUSW	3121
TEMP_STAT_MANAG	2777
ARCHIV_PREISSPLITTING	1412
TAG_ABS	1386
ARCHIV_ADRESSE	967
ARCHIV_LEISTSTA	823
ANG_LEISTUNG	783
ANGEBOT	693
TEMP_FIBU	691
TEXTE	691
PREISSPLITTING	455
PREISLIST_FREIM	398
PREISLIST	341
ARCHIV_PREISLIST_VERERB	210
KASSEN	206
RECHNUNG_INFO	178
FIBU_UEBER	171
PREISLIST_VERERB	168
LEISTSTA	132
KONTSTAM	51
LANDSTAM	51
LISTEN	47
FREIMELD_KATE	45
RE_NACHDRUCK	42
BUCHKONT_ZUS	39
ZIMMSTAM	37
TEMP_VORS_BELEG	36
TEMPDRUCKEN	29
DEVISEN	24
SAISSTAM	23
BEDIENER	21
VORLAGEN	21
TEMP_STAT_UMSATZ	19
ARCHIV_STEUSTAM	18
KATESTAM	11
SPRACHE_TEXTE	11
PREISCODE	10
SEGMSTAM	10
WARENGRU	9
GES_JAHR	8
PENSSTAMLIST	8
GLOB_LEISTUNG	7
KATESTAM_LEISTUNG	7
STEUSTAM	7
PARAMETE_SQL	4
ADRESSEN_ALTER_KREIS	3
ADR_AUSWAHL	3
DATENSCHUTZSTAM	3
GASTKSIGNO	3
FREIMELD_PRO	2
MANDANT	2
MXTEMPLATE	2
SPERRZEIT	2
SPRACHE	2
SYS_STADA_GLOBAL	2
TEMPLATE_PREISOPTION	2
VERBINDUNGEN_WS	2
ANG_KATE_ZI	1
BEDIENER_GRU	1
KASSVORTRAG	1
KELLNER	1
MANDANT_FISKAL	1
PARAMETE	1
PARAMETE_ONL_BUCH	1
PARAMETE_WEB	1
PARAM_INTERN	1
PARAM_LIZENZ	1
PARAM_PFLICH_FELDER	1
RABATT	1
SARA_ASSISENT	1
SARA_ASSISENT_DEF	1
TEMP_POSTAUSGANG	1
THERAPEUT	1
ABLAGEDIVERS	0
ABSCHLUESSE	0
ADR_ADDON	0
ADR_MAIL	0
ADR_NACHRICHT	0
ADR_SELE	0
ADR_TELETAPI	0
ADR_TELE_PROT	0
ADR_VERKN	0
ADR_WEITERE_BEGL	0
ANFRAGEN	0
ANSPRECHP	0
ARCHIV_PREISLIST_TGPREIS	0
ARCHIV_TERMINE	0
ARCHIV_TISCHBELEGUNG	0
ATRUST_SIGN_EINHEIT	0
BOUGSTAM	0
BUCHKONT_GS	0
DATENERFPORT	0
EIGT_ABR_LFD	0
EIGT_BELAST_ZUSATZ	0
EIGT_ERWEIT	0
EIGT_KTO	0
ENERG_STEUERUNG	0
FEIERTAG	0
FREIMELD_KATE_PRL	0
FREIMELD_KATE_REST	0
FREIMELD_REST_CON	0
FREIMELD_VAKANZ	0
FUNDBUERO	0
GARAGEN	0
GAR_BELEG	0
GASTARTEN	0
GASTKZAREF	0
GASTKZUS_TEXT	0
GAST_LEISTUNG	0
GK_MANU_SPLIT	0
GLOB_SPLITTING	0
GR_RES_ZUS	0
GUTSCHEINE	0
GUTSCHEIN_MOTIVE	0
GUTSCHEIN_PAKETE	0
HIS_VERBUND	0
HOUSEKEEPING	0
IF_GK_REFERNZ	0
IF_LEISTUNG	0
KARTEI_VERK_STAMM	0
KATESTAM_HAUPT	0
KELL_UMSATZ	0
KONTIGENT	0
KURS	0
KURSTEILNEHMER	0
KURSTEILNEHMER_ZUSATZ	0
KURTSTAM	0
LASTMINUTE	0
MARKETING	0
MARKETING_TEMP	0
MARKETING_TEMP_HISTORY	0
MELDEDATEN	0
MELDEKARTEN	0
MITARBEITER	0
MITARBEITER_ADR	0
MITARB_ZEITERF	0
OBJEKT	0
ONLINETRANS_BK	0
ONLINE_GK_ADR	0
PARAMETE_APP	0
PARAMETE_GUTSCHEIN	0
PARAMETE_WEB_BILDLINK	0
PARAM_HOUSEKEEP	0
PARAM_INTERFACE	0
PARAM_INTERFACE_TM	0
PARAM_LAGEPLAN	0
PARAM_NACHRICHT	0
PARAM_PLAN	0
PASSANT_KTO	0
POSTAUSGANG	0
PRCODE_RABATT	0
PREISLIST_ADDON	0
PREISLIST_BARRATE	0
PREISLIST_BASIS	0
PREISLIST_CALC	0
PREISLIST_MATCHC	0
PREISLIST_TGPREIS	0
PREISLIST_VERERB_FREIM	0
PREIS_VERR_LEISTUNG	0
